Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2016-06-01,22.56,22.68,22.41,22.44,22.44,116693200
AAPL,2016-06-02,22.24,22.29,22.02,22.27,22.27,160766400
AAPL,2016-06-03,22.28,22.39,22.2,22.31,22.31,114019600
AAPL,2016-06-06,22.33,23.22,22.23,22.47,22.47,93170000
AAPL,2016-06-07,22.62,22.76,22.55,22.56,22.56,89638000
AAPL,2016-06-08,22.56,22.69,22.49,22.54,22.54,83392400
AAPL,2016-06-09,22.44,22.78,22.44,22.71,22.71,106405600
AAPL,2016-06-10,22.45,22.64,22.44,22.52,22.52,126851600
AAPL,2016-06-13,22.49,22.59,22.13,22.18,22.18,152082000
AAPL,2016-06-14,22.18,22.44,22.05,22.21,22.21,127727600
AAPL,2016-06-15,22.29,22.42,22.11,22.13,22.13,117780800
AAPL,2016-06-16,21.98,22.27,21.89,22.23,22.23,125307200
AAPL,2016-06-17,22.02,22.02,21.72,21.72,21.72,244032800
AAPL,2016-06-20,21.87,22.0,21.65,21.67,21.67,137647600
AAPL,2016-06-21,21.63,21.95,21.57,21.85,21.85,142185600
AAPL,2016-06-22,21.93,22.08,21.73,21.77,21.77,116876400
AAPL,2016-06-23,21.86,21.94,21.7,21.9,21.9,128960800
AAPL,2016-06-24,21.17,21.57,21.11,21.28,21.28,301245600
AAPL,2016-06-27,21.19,21.2,20.85,20.97,20.97,181958400
AAPL,2016-06-28,21.17,21.34,20.99,21.33,21.33,161779600
AAPL,2016-06-29,21.41,21.54,21.33,21.51,21.51,146124000
AAPL,2016-06-30,21.52,21.82,21.49,21.78,21.78,143345600
AAPL,2016-07-01,21.76,21.98,21.72,21.85,21.85,104106000
AAPL,2016-07-05,21.74,21.74,21.52,21.64,21.64,110820800
AAPL,2016-07-06,21.56,21.8,21.5,21.77,21.77,123796400
AAPL,2016-07-07,21.81,21.99,21.79,21.86,21.86,100558400
AAPL,2016-07-08,21.99,22.08,21.89,22.03,22.03,115648400
AAPL,2016-07-11,22.05,22.25,22.04,22.1,22.1,95179600
AAPL,2016-07-12,22.14,22.26,22.13,22.2,22.2,96670000
AAPL,2016-07-13,22.2,22.26,22.07,22.07,22.07,103568800
AAPL,2016-07-14,22.19,22.56,22.18,22.51,22.51,155676000
AAPL,2016-07-15,22.54,22.63,22.44,22.51,22.51,120548000
AAPL,2016-07-18,22.49,22.82,22.47,22.75,22.75,145975600
AAPL,2016-07-19,22.69,22.79,22.64,22.76,22.76,95119600
